"Source:","/home/gavan/Nextcloud/unipart/git/tail/circuit/prodadapterb3/prodadapterb3.sch"
"Date:","Tue 17 Sep 2019 14:27:01 BST"
"Tool:","Eeschema 4.0.7-e2-6376~61~ubuntu18.04.1"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFR","MPN","SPN","SPR"
"","","J1","Conn_02x20_Odd_Even","conn:Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Angled_2x20_Pitch2.54mm","","Harting","09 18 540 6903","1096897","Farnell"
"","","J2","Conn_02x05_Odd_Even","conn:Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Angled_2x05_Pitch1.27mm","","Samtec","FTSH-105-01-L-D-RA-K","2856878","Farnell"
"","","J3","Conn_01x02","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","Multicomp","2211S-02G","1593411","Farnell"
"","","J4","Conn_02x20_Odd_Even","conn:Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Angled_2x20_Pitch2.54mm","","Harting","09 18 540 6903","1096897","Farnell"
"","","R1","3K9","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Multicomp","MF12 3K9","9343156","Farnell"
"","","R2","3K9","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Multicomp","MF12 3K9","9343156","Farnell"
"","","R3","3K9","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Multicomp","MF12 3K9","9343156","Farnell"
"","","U1","24LC128","memory:24LC128","Housings_DIP:DIP-8_W7.62mm","","Microchip","24LC128-I/P","9757929","Farnell"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFR","MPN","SPN","SPR"
"1","2","J1, J4","Conn_02x20_Odd_Even","conn:Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Angled_2x20_Pitch2.54mm","","Harting","09 18 540 6903","1096897","Farnell"
"2","1","J2","Conn_02x05_Odd_Even","conn:Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Angled_2x05_Pitch1.27mm","","Samtec","FTSH-105-01-L-D-RA-K","2856878","Farnell"
"3","1","J3","Conn_01x02","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","Multicomp","2211S-02G","1593411","Farnell"
"4","3","R1, R2, R3","3K9","device:R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Multicomp","MF12 3K9","9343156","Farnell"
"5","1","U1","24LC128","memory:24LC128","Housings_DIP:DIP-8_W7.62mm","","Microchip","24LC128-I/P","9757929","Farnell"
